temp(c),pressure(mb),humidity(),cloud cover(),wind speed(mph),wind dir.,precip.(mm)
29,1000,84,48,10,5,0
27,999,85,45,11,5,0
29,1000,81,38,14,5,0
33,1001,64,20,17,5,0
35,1000,54,56,18,5,0
36,997,54,51,17,5,0.1
34,998,63,48,14,6,0.1
30,1000,72,31,14,6,0.1
29,1001,77,34,13,6,0
28,1000,80,43,12,6,0
29,1002,78,44,13,6,0
33,1003,66,39,16,6,0.9
36,1001,56,52,15,6,3
36,999,56,37,13,6,2.6
34,999,63,10,10,6,0
31,1001,71,19,8,6,0
30,1001,76,7,7,7,0.3
29,1001,78,13,6,8,0.5
30,1002,73,0,6,8,0
35,1003,57,0,6,8,0
37,1002,48,9,6,7,0
38,1001,50,17,5,7,0
37,1001,55,9,5,7,0
34,1003,60,30,5,7,0
32,1003,66,24,5,7,0
30,1003,73,0,5,8,0
31,1003,71,7,5,11,1.6
36,1004,59,29,4,9,3.7
38,1002,49,42,2,6,1.1
37,1001,51,53,1,14,0
35,1001,57,76,2,11,0
34,1003,63,48,2,6,1.7
32,1003,73,29,3,11,6.6
30,1002,76,45,6,14,12.53
30,1003,76,63,6,14,3.5
32,1004,67,66,6,14,4
33,1003,60,69,9,14,4
32,1001,66,50,11,14,4.2
31,1001,76,40,7,14,3.2
30,1002,80,33,4,13,0.1
29,1001,81,33,5,13,0
29,1001,83,27,5,13,0.3
30,1002,77,26,5,13,0.7
33,1003,60,45,8,13,1.1
35,1002,53,50,11,13,1.2
34,1000,59,56,10,13,3.9
31,1000,72,52,8,13,12.53
30,1001,78,44,6,13,0.9
29,1001,81,62,6,13,3.3
29,1000,82,60,7,13,6.6
29,1002,77,46,8,13,5.7
32,1003,63,36,13,13,1.2
35,1003,54,39,13,13,1
35,1001,54,33,12,13,0.1
33,1001,63,33,8,13,0.1
31,1002,70,20,6,13,0
30,1003,73,0,6,12,0
29,1002,76,6,6,12,0
30,1003,71,12,8,12,0
33,1005,56,16,10,13,0
35,1003,50,41,11,13,0
35,1001,52,18,10,13,0
33,1001,60,10,7,13,0
31,1002,66,30,6,13,0
30,1003,70,21,6,12,0
30,1002,73,0,5,12,0
31,1003,70,0,6,12,0
34,1005,55,0,7,12,0
36,1004,45,15,6,13,0
35,1002,48,45,7,13,0
34,1002,56,29,6,13,0
32,1003,60,15,4,12,0
31,1003,63,49,4,11,0
30,1002,67,47,4,12,0
31,1003,66,30,4,12,0
34,1005,54,55,4,14,0
36,1004,45,86,4,15,0
36,1002,48,68,3,14,0
34,1002,54,54,3,14,0
33,1003,58,72,3,15,0
32,1003,63,53,2,14,0
31,1003,66,34,1,10,0
31,1004,64,42,3,12,0
34,1005,54,54,5,12,0
36,1004,45,95,6,13,0
36,1003,48,75,5,14,0
34,1002,54,49,4,14,0
33,1003,58,52,2,14,0
32,1003,62,59,2,13,0
31,1003,66,35,3,12,0
31,1004,65,23,3,11,0
34,1006,56,22,5,12,0
35,1005,50,60,6,14,0
36,1002,52,41,6,14,0
34,1002,58,20,5,13,0
33,1003,63,0,4,12,0
31,1003,67,19,4,12,0
30,1002,71,52,6,12,0
31,1004,67,43,6,13,0
34,1005,53,48,8,14,0
36,1003,45,55,9,14,0
36,1001,47,45,8,14,0
34,1001,55,48,6,13,0
33,1003,59,51,5,12,0
32,1003,63,41,4,12,0
31,1002,69,37,4,12,0
31,1004,68,41,4,11,0
34,1005,55,36,4,12,0
36,1004,46,55,5,14,0
36,1003,48,73,5,14,0
34,1003,53,45,4,13,0
33,1004,57,43,4,13,0
32,1004,61,30,4,14,0
31,1004,65,0,3,15,0
31,1005,65,0,1,14,0
35,1007,54,13,3,13,0
37,1005,42,37,6,14,0
37,1003,42,31,6,13,0
